window_size,precision,recall,f1_score
25,1.0,0.1,0.18181818181818182
26,1.0,0.1,0.18181818181818182
27,1.0,0.1,0.18181818181818182
28,1.0,0.1,0.18181818181818182
29,1.0,0.1,0.18181818181818182
30,1.0,0.1,0.18181818181818182
31,1.0,0.1,0.18181818181818182
32,1.0,0.1,0.18181818181818182
33,1.0,0.1,0.18181818181818182
34,1.0,0.1,0.18181818181818182
35,1.0,0.1,0.18181818181818182
36,1.0,0.1,0.18181818181818182
37,1.0,0.1,0.18181818181818182
38,1.0,0.1,0.18181818181818182
39,1.0,0.1,0.18181818181818182
40,1.0,0.1,0.18181818181818182
41,1.0,0.1,0.18181818181818182
42,1.0,0.1,0.18181818181818182
43,1.0,0.1,0.18181818181818182
44,1.0,0.1,0.18181818181818182
45,1.0,0.1,0.18181818181818182
46,1.0,0.1,0.18181818181818182
47,1.0,0.1,0.18181818181818182
48,1.0,0.1,0.18181818181818182
49,1.0,0.1,0.18181818181818182
50,1.0,0.1,0.18181818181818182
51,1.0,0.1,0.18181818181818182
52,1.0,0.1,0.18181818181818182
53,1.0,0.1,0.18181818181818182
54,1.0,0.1,0.18181818181818182
55,1.0,0.1,0.18181818181818182
56,1.0,0.1,0.18181818181818182
57,1.0,0.1,0.18181818181818182
58,1.0,0.1,0.18181818181818182
59,1.0,0.1,0.18181818181818182
60,1.0,0.1,0.18181818181818182
61,1.0,0.1,0.18181818181818182
62,1.0,0.1,0.18181818181818182
63,1.0,0.1,0.18181818181818182
64,1.0,0.1,0.18181818181818182
65,1.0,0.1,0.18181818181818182
